bill_id,session,name,organization,designated_env_impact,state_x,chamber_x,title,created_at,updated_at,type_x,subjects,state_y,chamber_y,date,action,actor,type_y
SB 407,2018,Complete Streets,League of Conservation Voters,positive,md,upper,Transportation - Complete Streets Program - Establishment,2018-01-25 04:54:23.367000,2018-05-22 07:33:05.341000,bill,"Transportation|Legislative Affairs|Municipal and County Issues|Public Services|Environmental|Other|Budget, Spending, and Taxes|Business and Consumers|Legal Issues",md,upper,2018-05-15 00:00:00,Approved by the Governor - Chapter 722,executive,governor:signed
SB 282,2018,Tier 2 Bill with Waste to Energy Removal,League of Conservation Voters,positive,md,upper,Renewable Energy – Tiers 1 and 2 Sources – Modifications and Compliance Fee,2018-01-21 04:38:11.841000,2018-04-23 07:35:20.546000,bill,Energy|Legislative Affairs,md,upper,2018-04-06 00:00:00,First Reading House Rules and Executive Nominations,lower,committee:referred
SB 277,2018,Metro Funding,"League of Conservation Voters, Sierra Club",positive,md,upper,Maryland Metro/Transit Funding Act,2018-01-21 04:38:12.677000,2018-10-31 07:29:05.425000,bill,"Transportation|Municipal and County Issues|Legislative Affairs|Other|Federal, State, and Local Relations|Technology and Communication|Budget, Spending, and Taxes|Housing and Property",md,upper,2018-04-25 00:00:00,Approved by the Governor - Chapter 351,executive,governor:signed
SB 138,2018,Climate Alliance,League of Conservation Voters,positive,md,upper,Environment - U.S. Climate Alliance - Membership,2018-01-13 04:19:48.026000,2018-10-31 07:28:49.429000,bill,"Legislative Affairs|Public Services|Executive Branch|Environmental|Other|Federal, State, and Local Relations|State Agencies",md,upper,2018-05-25 00:00:00,Vetoed by the Governor (Duplicative),executive,governor:vetoed
SB 1128,2018,Offshore Drilling Liability,League of Conservation Voters,positive,md,upper,Offshore Drilling Liability Act,2018-02-16 06:40:15.082000,2018-10-31 07:28:40.456000,bill,"Environmental|Energy|Judiciary|Budget, Spending, and Taxes|Legal Issues",md,upper,2018-05-25 00:00:00,Vetoed by the Governor (Duplicative),executive,governor:vetoed
SB 1058,2018,Climate Pension Funding,League of Conservation Voters,positive,md,upper,Renewable Energy – Offshore Wind Projects – Distance Requirements,2018-02-07 05:57:30.379000,2018-03-17 06:58:24.789000,bill,Environmental|Energy|Other|Government Reform|Legal Issues,md,upper,2018-02-07 00:00:00,Hearing 3/06 at 1:00 p.m.,upper,other
HB 993,2018,Climate Pension Funding,League of Conservation Voters,positive,md,lower,Maryland Pension Risk Mitigation Act,2018-02-07 05:57:30.565000,2018-05-22 07:32:30.797000,bill,Labor and Employment|Other|Senior Issues,md,lower,2018-05-15 00:00:00,Approved by the Governor - Chapter 769,executive,governor:signed
HB 766,2018,Forest Conservation Technical Study,Sierra Club,positive,md,lower,Forest Conservation – Technical Study and Programmatic Review,2018-02-01 05:22:06.456000,2018-05-12 07:33:28.580000,bill,Recreation|Legislative Affairs|Agriculture and Food|Environmental|Other|State Agencies,md,lower,2018-04-09 00:00:00,Third Reading Passed (114-25),lower,bill:passed
HB 538,2018,Banning Foam Food Service Products,Sierra Club,positive,md,lower,Environment - Expanded Polystyrene Food Service Products - Prohibition,2018-01-26 04:58:53.930000,2018-02-19 06:36:52.432000,bill,Commerce|Government Reform|Municipal and County Issues|Judiciary|Environmental|Other|Health|Education|Business and Consumers,md,lower,2018-02-05 00:00:00,Hearing 2/21 at 1:00 p.m. (Environment and Transportation),lower,other
HB 535,2018,Complete Streets,League of Conservation Voters,positive,md,lower,Transportation - Complete Streets Program - Establishment,2018-01-26 04:58:59.277000,2018-10-31 07:28:03.654000,bill,"Commerce|Social Issues|Transportation|Municipal and County Issues|Legislative Affairs|Public Services|Other|Technology and Communication|Budget, Spending, and Taxes|Business and Consumers|Legal Issues",md,lower,2018-05-15 00:00:00,Approved by the Governor - Chapter 721,executive,governor:signed
HB 529,2018,Tier 2 Bill with Waste to Energy Removal,League of Conservation Voters,positive,md,lower,Renewable Energy – Tier 2 Eligibility – Extension,2018-01-26 04:58:55.809000,2018-02-06 05:41:15.737000,bill,Energy|Legislative Affairs,md,lower,2018-01-26 00:00:00,Hearing 2/01 at 1:00 p.m.,lower,other
HB 372,2018,Metro Funding,"League of Conservation Voters, Sierra Club",positive,md,lower,Maryland Metro/Transit Funding Act,2018-01-24 04:47:59.014000,2018-10-31 07:28:27.604000,bill,"Transportation|Municipal and County Issues|Legislative Affairs|Other|Federal, State, and Local Relations|Technology and Communication|Budget, Spending, and Taxes|Housing and Property",md,lower,2018-04-25 00:00:00,Approved by the Governor - Chapter 352,executive,governor:signed
HB 3,2018,Climate Alliance,League of Conservation Voters,positive,md,lower,Environment - U.S. Climate Alliance - Membership,2018-01-08 04:14:23.898000,2018-05-19 07:32:47.670000,bill,"Legislative Affairs|Public Services|Executive Branch|Environmental|Other|Federal, State, and Local Relations|State Agencies",md,lower,2018-05-15 00:00:00,Approved by the Governor - Chapter 627,executive,governor:signed
HB 1456,2018,Offshore Drilling Liability,League of Conservation Voters,positive,md,lower,Offshore Drilling Liability Act,2018-02-09 06:15:34.924000,2018-05-22 07:33:16.135000,bill,"Environmental|Energy|Judiciary|Budget, Spending, and Taxes|Legal Issues",md,lower,2018-05-15 00:00:00,Approved by the Governor - Chapter 626,executive,governor:signed
SB 921-16,2017,Clean Energy Jobs Act—Veto Override,League of Conservation Voters,positive,,,,,,,,,,,,,
SB 740,2017,Fracking Ban,"League of Conservation Voters, Sierra Club",positive,md,upper,Oil and Natural Gas - Hydraulic Fracturing - Prohibition,2017-02-05 05:38:15.308000,2017-05-21 07:14:10.301000,bill,Environmental|Energy|Other,md,upper,2017-02-08 00:00:00,Hearing 2/28 at 1:00 p.m.,upper,other
SB 422,2017,Keep Antibiotics Effective Act of 2017,"League of Conservation Voters, Sierra Club",positive,md,upper,Keep Antibiotics Effective Act of 2017,2017-01-27 04:55:24.697000,2017-06-08 07:14:31.713000,bill,Government Reform|Legal Issues|Drugs|Judiciary|Agriculture and Food|Other|Health|Business and Consumers|Animal Rights and Wildlife Issues,md,upper,2017-05-27 00:00:00,"Enacted under Article II, Section 17(c) of the Maryland Constitution - Chapter 788",executive,other
SB 386,2017,Pollinator-safe Habitat Areas,League of Conservation Voters,positive,md,upper,Pollinator Habitat Plans - Plan Contents - Requirements and Prohibition,2017-01-26 04:51:06.946000,2017-07-28 07:23:44.954000,bill,Agriculture and Food|Environmental|Transportation|Animal Rights and Wildlife Issues|Health,md,upper,2017-05-26 00:00:00,Vetoed by the Governor (Duplicative),executive,governor:vetoed
SB 184,2017,Energy Efficiency Programs—Calculation of Program,League of Conservation Voters,positive,md,upper,Energy Efficiency Programs - Calculation of Program Savings and Consideration of Cost-Effectiveness,2017-01-23 04:32:35.917000,2017-05-21 07:14:03.744000,bill,Environmental|Energy|Other|Government Reform,md,upper,2017-04-06 00:00:00,"Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 14",executive,other
HB 924,2017,Sustainable Oyster Harvesting,League of Conservation Voters,positive,md,lower,Natural Resources - Oyster Management - Prohibited Actions,2017-02-05 05:38:20.887000,2017-05-21 07:14:21.851000,bill,Legal Issues|Agriculture and Food|Environmental|Other|Education|Animal Rights and Wildlife Issues,md,lower,2017-04-06 00:00:00,"Enacted under Article II, Section 17(b) of the Maryland Constitution - Chapter 27",executive,other
HB 830,2017,Pollinator-safe Habitat Areas,League of Conservation Voters,positive,md,lower,Pollinator Habitat Plans - Plan Contents - Requirements and Prohibition,2017-02-03 05:26:56.341000,2017-06-08 07:14:19.512000,bill,Agriculture and Food|Environmental|Transportation|Animal Rights and Wildlife Issues|Health,md,lower,2017-05-25 00:00:00,Approved by the Governor - Chapter 755,executive,governor:signed
HB 602,2017,Keep Antibiotics Effective Act of 2017,"League of Conservation Voters, Sierra Club",positive,md,lower,Keep Antibiotics Effective Act of 2017,2017-01-31 05:04:08.474000,2017-06-08 07:14:23.036000,bill,Government Reform|Legal Issues|Drugs|Judiciary|Agriculture and Food|Other|Health|Business and Consumers|Animal Rights and Wildlife Issues,md,lower,2017-05-27 00:00:00,"Enacted under Article II, Section 17(c) of the Maryland Constitution - Chapter 787",executive,other
