bill_id,session,name,organization,designated_env_impact,outcome,link,researcher (internal)
SB 407,2018,Complete Streets,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=sb0407&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
SB 282,2018,Tier 2 Bill with Waste to Energy Removal,League of Conservation Voters,positive,died on floor/before governor signature,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=SB0282&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
SB 277,2018,Metro Funding,"League of Conservation Voters, Sierra Club",positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=SB0277&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
SB 138,2018,Climate Alliance,League of Conservation Voters,positive,vetoed by governor because duplicative of a bill in another chamber,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=02&id=SB0138&tab=subject3&ys=2018rs,Sam
SB 1128,2018,Offshore Drilling Liability,League of Conservation Voters,positive,vetoed by governor because duplicative of a bill in another chamber,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=SB1128&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
SB 1058,2018,Climate Pension Funding,League of Conservation Voters,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=SB1058&tab=subject3&ys=2018rs,Sam
HB 993,2018,Climate Pension Funding,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB0993&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
HB 766,2018,Forest Conservation Technical Study,Sierra Club,positive,died on floor/before governor signature,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=HB0766&tab=subject3&ys=2018rs,Sam
HB 538,2018,Banning Foam Food Service Products,Sierra Club,positive,died on floor/before governor signature,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB0538&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
HB 535,2018,Complete Streets,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=hb0535&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
HB 529,2018,Tier 2 Bill with Waste to Energy Removal,League of Conservation Voters,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB0529&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
HB 372,2018,Metro Funding,"League of Conservation Voters, Sierra Club",positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB0372&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
HB 3,2018,Climate Alliance,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB0003&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
HB 1456,2018,Offshore Drilling Liability,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB1456&stab=01&pid=billpage&tab=subject3&ys=2018rs,Sam
SB 740,2017,Fracking Ban,"League of Conservation Voters, Sierra Club",positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=sb0740&stab=01&pid=billpage&tab=subject3&ys=2017rs,Sam
SB 422,2017,Keep Antibiotics Effective Act of 2017,"League of Conservation Voters, Sierra Club",positive,bill passed,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=SB0422&stab=01&pid=billpage&tab=subject3&ys=2017rs,Sam
SB 386,2017,Pollinator-safe Habitat Areas,League of Conservation Voters,positive,vetoed by governor because duplicative of a bill in another chamber,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=SB0386&tab=subject3&ys=2017rs,Sam
SB 184,2017,Energy Efficiency Programs—Calculation of Program,League of Conservation Voters,positive,bill passed,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=SB0184&stab=01&pid=billpage&tab=subject3&ys=2017rs,Sam
HB 924,2017,Sustainable Oyster Harvesting,League of Conservation Voters,positive,bill passed,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB0924&stab=01&pid=billpage&tab=subject3&ys=2017rs,Sam
HB 830,2017,Pollinator-safe Habitat Areas,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB0830&stab=01&pid=billpage&tab=subject3&ys=2017rs,Sam
HB 602,2017,Keep Antibiotics Effective Act of 2017,"League of Conservation Voters, Sierra Club",positive,bill passed,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB0602&stab=01&pid=billpage&tab=subject3&ys=2017rs,Sam
HB 514,2017,Energy Efficiency Programs—Calculation of Program,League of Conservation Voters,positive,bill passed,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB0514&stab=01&pid=billpage&tab=subject3&ys=2017rs,Sam
HB 1325,2017,Fracking Ban,"League of Conservation Voters, Sierra Club",positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=HB1325&stab=01&pid=billpage&tab=subject3&ys=2017rs,Vrushank
SB 937,2016,Sustainable Oyster Population and Fishery Act of 2016,League of Conservation Voters,positive,bill passed,http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=sb0937&stab=01&pid=billpage&tab=subject3&ys=2016rs,Vrushank
SB 921,2016,Clean Energy Jobs Act,"League of Conservation Voters, Sierra Club",positive,"passed, vetoed by governor, veto overridden by state lege",http://mgaleg.maryland.gov/webmga/frmMain.aspx?id=SB0921&stab=01&pid=billpage&tab=subject3&ys=2016rs,Vrushank
SB 398,2016,Reducing Environmental Degradation for the Underserved through Community Engagement,League of Conservation Voters,positive,died in committee,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=SB0398&tab=subject3&ys=2016rs,Vrushank
SB 323,2016,Greenhouse Gas Emissions Reduction Act,"League of Conservation Voters, Sierra Club",positive,passed (with or without amendments) and signed by governor,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0323&tab=subject3&ys=2016rs,Vrushank
SB 198,2016,Pollinator Protection Act,"League of Conservation Voters, Sierra Club",positive,bill passed,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=sb0198&tab=subject3&ys=2016rs,Vrushank
HB 610,2016,Greenhouse Gas Emissions Reduction Act,"League of Conservation Voters, Sierra Club",positive,vetoed by governor because duplicative of a bill in another chamber,http://mgaleg.maryland.gov/webmga/frmMain.aspx?pid=billpage&stab=01&id=HB0610&tab=subject3&ys=2016rs,Vrushank
