bill_id,session,name,organization,designated_env_impact,outcome,link,researcher (internal),
SB 1014,2019,Interstate 73 Corridor Development Fund and Program; created,League of Conservation Voters,negative,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?ses=191&typ=bil&val=SB1014,Sam,
SB 1116,2019,Curbing plastic bags in the Bay watershed,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+SB116,Sam,
SB 1355,2019,Coal combustion residuals impoundment,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+SB1355,Sam,
SB 1456,2019,Distributed renewable energy,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+SB1456,Sam,
SB 1573,2019,Offshore oil and gas drilling; prohibition,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+SB1573,Sam,
SB 1605,2019,Electric utilities; stakeholder process for energy efficiency programs,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+SB1605,Sam,
SB 1629,2019,"School boards, local; lead testing potable water",League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+SB1629,Sam,
SB 1666,2019,Virginia Coastal Protection Act,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+SB1666,Sam,
SJ 274,2019,"Constitutional amendment; apportionment, criteria for legislative and congressional districts",League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+SJ274,Sam,
HB 1718,2019,Electric utilities; fuel cost recovery,League of Conservation Voters,positive,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB1718,Sam,
HB 2009,2019,Virginia Land Conservation Foundation,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB2009,Sam,
HB 2269,2019,Regional transportation sector emissions programs,League of Conservation Voters,negative,passed but vetoed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB2269,Sam,
HB 2611,2019,"Regional Greenhouse Gas Initiative, Prohibition on Participation",League of Conservation Voters,positive,passed but vetoed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?191+amd+HB2611AG,Sam,
HB 2637,2019,Loans and grants for agricultural best management practices; riparian buffers,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB2637,Sam,
HB 2741,2019,Clean Energy Advisory Board; established,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB2741,Sam,
HB 1635,2019,Fossil fuel projects moratorium,League of Conservation Voters,positive,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB1635,Sam,
HB 1700,2019,Budget Bill,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB1700,Sam,
HB 1906,2019,Residential automatic pesticide misting systems; prohibition,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB1906,Sam,
HB 1908,2019,"Sixth grade science; Department of Education, et al., shall update curriculum.",League of Conservation Voters,positive,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB1908,Sam,
HB 2241,2019,Green job training; creates tax credit,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB2241,Sam,
HB 2292,2019,"Electric utilities; definitions, energy efficiency programs",League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB2292,Sam,
HB 2329,2019,Distributed renewable energy; promotes establishment of solar and other renewable energy.,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB2329,Sam,
HB 2364,2019,Agritourism; amends definition relating to wedding venues,League of Conservation Voters,negative,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB2364,Sam,
HB 2696,2019,Environmental Justice Advisory Council; established,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?191+sum+HB2696,Sam,
HB 58,2018,Expanding state agencies' use of LEDs ,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10112HB0058+BREF,Yuqing,
SB 837,2018,Retail Markets for Renewable Energy,Sierra Club,positive,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10117SB0837+SBREF,Yuqing,
HB 204,2018,Energy Benchmarking,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10115HB0204+BREF,Yuqing,
HB 655,2018,Coal Tax Credits,Sierra Club,negative,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10116HB0655+BREF,Yuqing,
HB 665,2018,Reinstating tax handouts for coal companies,League of Conservation Voters,negative,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10209HB0665+RCHB1,Yuqing,
HB 904,2018,Expanding trade secrets protections under FOIA,League of Conservation Voters,negative,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10116HB0904+BREF,Yuqing,
HB 1018,2018,Energy Storage System Tax Credit,Sierra Club,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10209HB1018+BRREFC,Yuqing,
HB 1187,2018,Natural gas companies; right of entry,"League of Conservation Voters, Sierra Club",positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10118HB1187+BREF,Yuqing,
HB 1270,2018,Blocking Virginia from linking with RGGI,"League of Conservation Voters, Sierra Club",negative,passed but vetoed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10118HB1270+BREF,Yuqing,
HB 1273,2018,Virginia Aletrnative Energy Coastal Protection Act ,"League of Conservation Voters, Sierra Club",positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10118HB1273+BREF,Yuqing,
HB 1451,2018,Net metering pilot program for schools,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10212HB1451+UCHB2,Yuqing,
HB 1528,2018,Expanding retail competition for electricity ,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10123HB1528+BREF,Yuqing,
HB 1558,2018,Grid Transformation and Security Act,Sierra Club,positive,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10212HB1558+RCHB2,Yuqing,
HB 1610,2018,Adjusting Virginia's quota for menhaden landings,League of Conservation Voters,positive,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+sum+HB1610,Yuqing,
HJ 111,2018,Consitutional amendment; powers of G.A.,League of Conservation Voters,negative,died in committee,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10115HJ0111+RREF,Yuqing,
HB 508,2018,Local Regulation of Solar Facilities,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10223HB0508+UCHB3,Yuqing,
SB 9,2018,Ending the Ratepayer Ripoff,Sierra Club,positive,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?181+sum+SB9,Yuqing,
SB 378,2018,Coal Tax Credits,Sierra Club,negative,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10202SB0378+RCSB2,Yuqing,
SB 698,2018,Energy erosion and sediment control,Sierra Club,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10112SB0698+SBREF,Yuqing,
SB 405,2018,Overriding local control of wireless infrastructure,League of Conservation Voters,negative,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10209SB0405+RCSB3,Yuqing,
SB 699,2018,Expanding DEQ's oversight of pipeline construction,"League of Conservation Voters, Sierra Club",positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10112SB0699+SBREF,Yuqing,
SB 646,2018,"Electric Utilities, Fuel Factor, Gas Pipeline Capacity",Sierra Club,positive,died on floor/before governor signature,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+SC10112SB0646+SBREF,Yuqing,
SB 856,2018,Securing dedicated funding for Metro,League of Conservation Voters,positive,passed (with or without amendments) and signed by governor,http://lis.virginia.gov/cgi-bin/legp604.exe?181+cab+HC10219SB0856+SB1REF,Yuqing,
